estampa|estado
Copa|false
Balon|true
Especial_2|true
Especial_3|true
Especial_4|true
Especial_5|true
Especial_6|false
Especial_7|false
Especial_8|false
Especial_9|false
Especial_10|true
Real_Madrid_11|true
Real_Madrid_12|true
Real_Madrid_13|false
Real_Madrid_14|true
Real_Madrid_15|false
Real_Madrid_16|true
Real_Madrid_17|true
Real_Madrid_18|false
Real_Madrid_19|true
Real_Madrid_20|false
Real_Madrid_21|true
Chelsea_22|false
Chelsea_23|false
Chelsea_24|false
Chelsea_25|true
Chelsea_26|true
Chelsea_27|true
Chelsea_28|true
Chelsea_29|true
Chelsea_30|true
Chelsea_31|true
Chelsea_32|true
Bayern_Munich_33|false
Bayern_Munich_34|true
Bayern_Munich_35|false
Bayern_Munich_36|false
Bayern_Munich_37|true
Bayern_Munich_38|true
Bayern_Munich_39|false
Bayern_Munich_40|false
Bayern_Munich_41|false
Bayern_Munich_42|true
Bayern_Munich_43|true
Inter_44|true
Inter_45|false
Inter_46|true
Inter_47|true
Inter_48|true
Inter_49|true
Inter_50|false
Inter_51|false
Inter_52|true
Inter_53|true
Inter_54|true
